Model,Threshold,PR-AUC,ROC-AUC,Recall,Specificity,Precision,F1,F2,Bal-Accuracy,Brier,CV_PR-AUC
LR (F2-threshold),0.1023,0.921,0.83,1.0,0.0,0.7,0.824,0.921,0.5,0.166,0.906
LR (Spec>=0.75 threshold),0.4666,0.921,0.83,0.757,0.783,0.891,0.819,0.781,0.77,0.166,0.906
